id_gostei;fk_publicacao;fk_usuario
1;1;20
2;1;21
3;1;26
4;1;27
5;1;30
6;1;39
7;1;41
8;1;42
9;1;54
10;1;57
11;1;58
12;1;61
13;1;69
14;1;78
15;1;82
16;1;96
17;1;102
18;1;109
19;1;124
20;1;125
21;1;135
22;1;136
23;1;141
24;1;142
25;1;143
26;1;148
27;1;149
28;1;152
29;1;158
30;1;159
31;1;162
32;1;165
33;1;166
34;1;167
35;1;183
36;1;192
37;1;196
38;1;212
39;1;217
40;1;224
41;1;226
42;1;229
43;1;230
44;1;232
45;1;234
46;1;245
47;1;251
48;1;255
49;1;256
50;1;257
51;1;260
52;1;261
53;1;262
54;1;264
55;1;266
56;1;277
57;1;287
58;1;288
59;1;289
60;1;304
61;1;310
62;1;314
63;1;318
64;1;322
65;1;326
66;1;333
67;1;334
68;1;336
69;1;341
70;1;351
71;1;353
72;1;356
73;1;358
74;1;366
75;1;395
76;1;404
77;1;405
78;1;412
79;1;423
80;1;431
81;1;434
82;1;448
83;1;449
84;1;453
85;1;454
86;1;456
87;1;463
88;1;464
89;1;469
90;1;472
91;1;473
92;1;477
93;1;479
94;1;480
95;1;482
96;1;486
97;1;492
98;1;493
99;1;498
100;1;507
101;1;508
102;1;510
103;1;517
104;1;520
105;1;521
106;1;527
107;1;530
108;1;534
109;1;541
110;1;542
111;1;561
112;1;563
113;1;572
114;1;574
115;1;577
116;1;578
117;1;590
118;1;593
119;1;600
120;1;601
121;1;608
122;1;609
123;1;610
124;1;619
125;1;620
126;1;621
127;1;624
128;1;628
129;1;644
130;1;655
131;1;658
132;1;659
133;1;661
134;1;667
135;1;668
136;1;670
137;1;673
138;1;677
139;1;678
140;1;681
141;1;689
142;1;694
143;1;699
144;1;700
145;1;701
146;1;708
147;1;712
148;1;725
149;1;743
150;1;748
151;1;762
152;1;763
153;1;778
154;1;781
155;1;787
156;1;789
157;1;799
158;1;800
159;1;814
160;1;827
161;1;831
162;1;837
163;1;844
164;1;853
165;1;862
166;1;866
167;1;873
168;1;874
169;1;875
170;1;887
171;1;889
172;1;894
173;1;909
174;1;911
175;1;921
176;1;927
177;1;929
178;1;938
179;1;941
180;1;954
181;1;964
182;1;986
183;1;987
184;1;988
185;1;1007
186;1;1015
187;1;1018
188;1;1020
189;1;1021
190;1;1023
191;1;1025
192;1;1026
193;1;1033
194;1;1035
195;1;1040
196;1;1042
197;1;1051
198;1;1053
199;1;1057
200;1;1060
201;1;1063
202;1;1084
203;1;1085
204;1;1087
205;1;1091
206;1;1092
207;1;1106
208;1;1107
209;1;1117
210;1;1121
211;1;1122
212;1;1128
213;1;1136
214;1;1163
215;1;1165
216;1;1167
217;1;1171
218;2;4
219;2;13
220;2;24
221;2;32
222;2;36
223;2;48
224;2;60
225;2;61
226;2;66
227;2;68
228;2;71
229;2;72
230;2;73
231;2;82
232;2;84
