id_gostei;fk_publicacao;fk_usuario
1;1;2
2;1;5
3;1;13
4;1;19
5;1;22
6;1;26
7;1;28
8;1;29
9;1;32
10;1;39
11;1;43
12;1;47
13;1;48
14;1;56
15;1;61
16;1;69
17;1;71
18;1;79
19;1;81
20;1;83
21;1;84
22;1;92
23;1;99
24;1;115
25;1;131
26;1;133
27;1;134
28;1;142
29;1;143
30;1;153
31;1;158
32;1;176
33;1;183
34;1;184
35;1;186
36;1;189
37;1;198
38;1;201
39;1;231
40;1;236
41;1;237
42;1;241
43;1;242
44;1;243
45;1;244
46;1;254
47;1;264
48;1;272
49;1;280
50;1;287
51;1;303
52;1;307
53;1;310
54;1;311
55;1;314
56;1;321
57;1;324
58;1;326
59;1;327
60;1;332
61;1;333
62;1;336
63;1;345
64;1;348
65;1;349
66;1;351
67;1;369
68;1;374
69;1;381
70;1;388
71;1;390
72;1;392
73;1;400
74;1;412
75;1;417
76;1;420
77;1;425
78;1;426
79;1;435
80;1;440
81;1;446
82;1;460
83;1;467
84;1;469
85;1;477
86;1;481
87;1;489
88;1;492
89;1;498
90;1;501
91;1;504
92;1;506
93;1;508
94;1;509
95;1;519
96;1;529
97;1;534
98;1;543
99;1;547
100;1;557
101;1;561
102;1;564
103;1;565
104;1;570
105;1;576
106;1;580
107;1;583
108;1;585
109;1;595
110;1;600
111;1;604
112;1;605
113;1;613
114;1;623
115;1;624
116;1;627
117;1;631
118;1;636
119;1;637
120;1;641
121;1;653
122;1;660
123;1;661
124;1;667
125;1;670
126;1;682
127;1;683
128;1;685
129;1;686
130;1;687
131;1;688
132;1;697
133;1;712
134;1;713
135;1;715
136;1;718
137;1;719
138;1;727
139;1;728
140;1;732
141;1;735
142;1;737
143;1;741
144;1;745
145;1;750
146;1;753
147;1;754
148;1;755
149;1;760
150;1;761
151;1;774
152;1;775
153;1;779
154;1;782
155;1;792
156;1;801
157;1;802
158;1;803
159;1;809
160;1;814
161;1;817
162;1;821
163;1;822
164;1;824
165;1;834
166;1;840
167;1;842
168;1;844
169;1;855
170;1;861
171;1;866
172;1;867
173;1;869
174;1;879
175;1;887
176;1;888
177;1;894
178;1;895
179;1;896
180;1;901
181;1;902
182;1;906
183;1;910
184;1;911
185;1;914
186;1;935
187;1;940
188;1;943
189;1;950
190;1;951
191;1;965
192;1;966
193;1;971
194;1;979
195;1;980
196;1;986
197;1;998
198;1;1014
199;1;1018
200;1;1020
201;1;1025
202;1;1027
203;1;1034
204;1;1043
205;1;1056
206;1;1067
207;1;1069
208;1;1073
209;1;1085
210;1;1089
211;1;1102
212;1;1103
213;1;1106
214;1;1108
215;1;1110
216;1;1119
217;1;1128
218;1;1134
219;1;1138
220;1;1145
221;1;1155
222;1;1168
223;1;1173
224;1;1177
225;1;1178
226;2;9
227;2;10
228;2;13
229;2;23
230;2;30
231;2;32
232;2;37
233;2;42
234;2;45
235;2;46
236;2;48
237;2;58
238;2;59
239;2;61
240;2;66
241;2;69
242;2;73
243;2;75
244;2;78
245;2;79
246;2;84
247;2;88
248;2;92
249;2;110
250;2;123
251;2;127
252;2;130
253;2;132
254;2;135
255;2;136
256;2;140
257;2;144
258;2;147
259;2;148
260;2;165
261;2;169
262;2;171
263;2;187
264;2;188
265;2;196
266;2;197
267;2;199
268;2;202
269;2;208
270;2;220
271;2;238
272;2;241
273;2;248
274;2;250
275;2;252
276;2;253
277;2;256
278;2;270
279;2;272
280;2;289
281;2;291
282;2;295
283;2;300
284;2;305
285;2;308
286;2;315
287;2;319
288;2;325
289;2;327
290;2;332
291;2;338
292;2;341
293;2;342
294;2;348
295;2;351
296;2;360
297;2;364
298;2;365
299;2;366
300;2;369
301;2;380
302;2;396
303;2;403
304;2;404
305;2;405
306;2;407
307;2;417
308;2;418
309;2;420
310;2;428
311;2;430
312;2;431
313;2;450
314;2;462
315;2;463
316;2;475
317;2;482
318;2;485
319;2;489
320;2;490
321;2;493
322;2;500
323;2;503
324;2;504
325;2;514
326;2;521
327;2;523
328;2;524
329;2;530
330;2;531
331;2;535
332;2;540
333;2;544
334;2;553
335;2;559
336;2;562
337;2;563
338;2;565
339;2;566
340;2;574
341;2;584
342;2;587
343;2;588
344;2;590
345;2;592
346;2;600
347;2;601
348;2;607
349;2;608
350;2;610
351;2;618
352;2;624
353;2;629
354;2;637
355;2;643
356;2;649
357;2;651
358;2;660
359;2;665
360;2;670
361;2;672
362;2;678
363;2;683
364;2;684
365;2;693
366;2;703
367;2;708
368;2;716
369;2;717
370;2;718
371;2;724
372;2;730
373;2;732
374;2;736
375;2;738
376;2;745
377;2;748
378;2;750
379;2;761
380;2;764
381;2;766
382;2;781
383;2;783
384;2;786
385;2;795
386;2;796
387;2;797
388;2;800
389;2;801
390;2;805
391;2;808
392;2;813
393;2;814
394;2;816
395;2;819
396;2;821
397;2;826
398;2;834
399;2;843
400;2;852
401;2;858
402;2;859
403;2;860
404;2;870
405;2;874
406;2;882
407;2;894
408;2;897
409;2;899
410;2;921
411;2;922
412;2;925
413;2;926
414;2;929
415;2;935
416;2;939
417;2;947
418;2;955
419;2;960
420;2;961
421;2;962
422;2;971
423;2;972
424;2;974
425;2;980
426;2;987
427;2;995
428;2;997
429;2;1001
430;2;1007
431;2;1008
432;2;1013
433;2;1015
434;2;1021
435;2;1025
436;2;1026
437;2;1030
438;2;1033
439;2;1034
440;2;1038
441;2;1040
442;2;1042
443;2;1065
444;2;1066
445;2;1067
446;2;1068
447;2;1075
448;2;1081
449;2;1083
450;2;1088
451;2;1091
452;2;1106
453;2;1125
454;2;1126
455;2;1128
456;2;1132
457;2;1138
458;2;1143
459;2;1152
460;2;1162
461;2;1173
462;3;8
463;3;10
464;3;15
465;3;23
466;3;29
467;3;30
468;3;36
469;3;46
470;3;52
471;3;67
472;3;71
473;3;90
474;3;99
475;3;101
476;3;104
477;3;111
478;3;123
479;3;147
480;3;151
481;3;154
482;3;155
483;3;160
484;3;162
485;3;164
486;3;171
487;3;174
488;3;177
489;3;186
490;3;190
491;3;191
492;3;197
493;3;198
494;3;199
495;3;206
496;3;211
497;3;222
498;3;223
499;3;229
500;3;232
501;3;237
502;3;238
503;3;249
504;3;253
505;3;259
506;3;261
507;3;264
508;3;266
509;3;274
510;3;275
511;3;281
512;3;283
513;3;292
514;3;303
515;3;311
516;3;316
517;3;321
518;3;324
519;3;329
520;3;337
521;3;345
522;3;355
523;3;357
524;3;361
525;3;385
526;3;387
527;3;389
528;3;391
529;3;397
530;3;402
531;3;406
532;3;411
533;3;412
534;3;413
535;3;420
536;3;433
537;3;446
538;3;447
539;3;449
540;3;455
541;3;456
542;3;457
543;3;459
544;3;462
545;3;463
546;3;469
547;3;470
548;3;482
549;3;483
550;3;484
551;3;498
552;3;504
553;3;507
554;3;517
555;3;519
556;3;520
557;3;525
558;3;530
559;3;533
560;3;548
561;3;549
562;3;555
563;3;556
564;3;558
565;3;559
566;3;567
567;3;569
568;3;574
569;3;577
570;3;582
571;3;583
572;3;584
573;3;585
574;3;597
575;3;601
576;3;603
577;3;604
578;3;606
579;3;609
580;3;624
581;3;625
582;3;628
583;3;633
584;3;643
585;3;649
586;3;657
587;3;659
588;3;664
589;3;665
590;3;668
591;3;672
592;3;676
593;3;680
594;3;682
595;3;683
596;3;689
597;3;694
598;3;696
599;3;698
600;3;701
601;3;703
602;3;704
603;3;721
604;3;725
605;3;734
606;3;736
607;3;743
608;3;748
609;3;756
610;3;761
611;3;763
612;3;769
613;3;770
614;3;771
615;3;783
616;3;787
617;3;803
618;3;807
619;3;815
620;3;821
621;3;823
622;3;829
623;3;835
624;3;836
625;3;838
626;3;845
627;3;855
628;3;857
629;3;859
630;3;862
631;3;869
632;3;889
633;3;892
634;3;895
635;3;898
636;3;904
637;3;906
638;3;913
639;3;914
640;3;915
641;3;917
642;3;927
643;3;930
644;3;931
645;3;937
646;3;941
647;3;955
648;3;959
649;3;961
650;3;974
651;3;984
652;3;986
653;3;987
654;3;988
655;3;1000
656;3;1002
657;3;1006
658;3;1011
659;3;1012
660;3;1017
661;3;1032
662;3;1033
663;3;1037
664;3;1038
665;3;1044
666;3;1047
667;3;1050
668;3;1054
669;3;1057
670;3;1059
671;3;1068
672;3;1077
673;3;1084
674;3;1088
675;3;1093
676;3;1096
677;3;1098
678;3;1099
679;3;1107
680;3;1109
681;3;1112
682;3;1115
683;3;1118
684;3;1121
685;3;1122
686;3;1125
687;3;1132
688;3;1136
689;3;1140
690;3;1146
691;3;1147
692;3;1150
693;3;1153
694;3;1157
695;3;1159
696;3;1166
697;3;1171
698;3;1175
699;3;1176
700;3;1178
701;4;5
702;4;8
703;4;14
704;4;19
705;4;25
706;4;29
707;4;34
708;4;38
709;4;41
710;4;46
711;4;57
712;4;59
713;4;70
714;4;72
715;4;76
716;4;79
717;4;82
718;4;84
719;4;90
720;4;98
721;4;106
722;4;114
723;4;120
724;4;122
725;4;123
726;4;126
727;4;137
728;4;138
729;4;148
730;4;149
731;4;150
732;4;157
733;4;161
734;4;162
735;4;164
736;4;166
737;4;169
738;4;175
739;4;177
740;4;178
741;4;184
742;4;192
743;4;196
744;4;201
745;4;203
746;4;211
747;4;213
748;4;223
749;4;227
750;4;228
751;4;236
752;4;238
753;4;244
754;4;246
755;4;247
756;4;248
757;4;249
758;4;250
759;4;255
760;4;256
761;4;258
762;4;259
763;4;265
764;4;278
765;4;282
766;4;285
767;4;291
768;4;299
769;4;300
770;4;301
771;4;303
772;4;304
773;4;309
774;4;311
775;4;313
776;4;332
777;4;333
778;4;355
779;4;359
780;4;365
781;4;379
782;4;392
783;4;409
784;4;410
785;4;411
786;4;413
787;4;414
788;4;418
789;4;420
790;4;425
791;4;430
792;4;432
793;4;436
794;4;438
795;4;441
796;4;448
797;4;449
798;4;461
799;4;471
800;4;475
801;4;477
802;4;484
803;4;492
804;4;499
805;4;526
806;4;530
807;4;533
808;4;536
809;4;538
810;4;548
811;4;551
812;4;554
813;4;558
814;4;561
815;4;562
816;4;570
817;4;575
818;4;588
819;4;590
820;4;601
821;4;608
822;4;609
823;4;611
824;4;613
825;4;622
826;4;624
827;4;628
828;4;632
829;4;638
830;4;639
831;4;646
832;4;648
833;4;653
834;4;655
835;4;657
836;4;658
837;4;661
838;4;663
839;4;664
840;4;667
841;4;669
842;4;674
843;4;682
844;4;683
845;4;686
846;4;700
847;4;714
848;4;721
849;4;726
850;4;732
851;4;733
852;4;736
853;4;741
854;4;750
855;4;760
856;4;762
857;4;768
858;4;775
859;4;779
860;4;795
861;4;818
862;4;823
863;4;834
864;4;837
865;4;840
866;4;844
867;4;849
868;4;858
869;4;861
870;4;863
871;4;867
872;4;869
873;4;872
874;4;884
875;4;889
876;4;895
877;4;904
878;4;914
879;4;928
880;4;932
881;4;937
882;4;940
883;4;944
884;4;947
885;4;953
886;4;956
887;4;968
888;4;973
889;4;980
890;4;982
891;4;989
892;4;994
893;4;1004
894;4;1009
895;4;1014
896;4;1018
897;4;1021
898;4;1024
899;4;1029
900;4;1030
901;4;1035
902;4;1044
903;4;1046
904;4;1049
905;4;1050
906;4;1051
907;4;1060
908;4;1061
909;4;1064
910;4;1066
911;4;1074
912;4;1075
913;4;1076
914;4;1080
915;4;1084
916;4;1091
917;4;1092
918;4;1098
919;4;1105
920;4;1109
921;4;1113
922;4;1118
923;4;1122
924;4;1124
925;4;1128
926;4;1129
927;4;1131
928;4;1132
929;4;1141
930;4;1147
931;4;1148
932;4;1151
933;4;1154
934;4;1162
935;4;1170
936;4;1172
937;5;2
938;5;4
939;5;9
940;5;11
941;5;12
942;5;19
943;5;22
944;5;23
945;5;29
946;5;34
947;5;50
948;5;57
949;5;60
950;5;63
951;5;67
952;5;70
953;5;72
954;5;84
955;5;92
956;5;94
957;5;95
958;5;111
959;5;115
960;5;118
961;5;119
962;5;123
963;5;128
964;5;130
965;5;131
966;5;138
967;5;143
968;5;148
969;5;149
970;5;158
971;5;159
972;5;168
973;5;169
974;5;183
975;5;185
976;5;190
977;5;197
978;5;204
979;5;209
980;5;210
981;5;216
982;5;219
983;5;230
984;5;239
985;5;240
986;5;245
987;5;250
988;5;263
989;5;266
990;5;270
991;5;286
992;5;290
993;5;301
994;5;306
995;5;317
996;5;322
997;5;333
998;5;338
