id_inscricao_evento;fk_evento;fk_usuario;status_ue
1;1;837;CONFIRMADO
2;1;407;CONFIRMADO
3;1;203;CONFIRMADO
4;1;808;CONFIRMADO
5;1;315;CONFIRMADO
6;1;1112;CONFIRMADO
7;1;478;CONFIRMADO
8;2;858;CONFIRMADO
9;2;171;CONFIRMADO
10;2;676;CONFIRMADO
11;2;377;CONFIRMADO
12;2;938;CONFIRMADO
13;3;1104;CONFIRMADO
14;3;270;CONFIRMADO
15;3;970;CONFIRMADO
16;3;12;CONFIRMADO
17;3;795;CONFIRMADO
18;3;340;CONFIRMADO
19;3;863;CONFIRMADO
20;3;355;CONFIRMADO
21;3;724;CONFIRMADO
22;3;343;CONFIRMADO
23;3;922;CONFIRMADO
24;3;236;CONFIRMADO
25;3;368;CONFIRMADO
26;3;1160;CONFIRMADO
27;3;1160;CONFIRMADO
28;3;1172;CONFIRMADO
29;3;1144;CONFIRMADO
30;3;877;CONFIRMADO
31;3;57;CONFIRMADO
32;3;125;CONFIRMADO
33;4;679;CONFIRMADO
34;4;1070;CONFIRMADO
35;4;1003;CONFIRMADO
36;4;221;CONFIRMADO
37;6;152;CONFIRMADO
38;6;846;CONFIRMADO
39;6;942;CONFIRMADO
40;6;551;CONFIRMADO
41;8;401;CONFIRMADO
42;8;38;CONFIRMADO
43;8;465;CONFIRMADO
44;8;1099;CONFIRMADO
45;8;37;CONFIRMADO
46;8;1108;CONFIRMADO
47;8;973;CONFIRMADO
48;8;246;CONFIRMADO
49;11;234;CONFIRMADO
50;11;1112;CONFIRMADO
51;11;349;CONFIRMADO
52;11;1126;CONFIRMADO
53;13;529;CONFIRMADO
54;13;29;CONFIRMADO
55;13;352;CONFIRMADO
56;13;925;CONFIRMADO
57;18;310;CONFIRMADO
58;18;274;CONFIRMADO
59;18;304;CONFIRMADO
60;18;1056;CONFIRMADO
61;18;578;CONFIRMADO
62;18;380;CONFIRMADO
63;18;796;CONFIRMADO
64;18;109;CONFIRMADO
65;18;37;CONFIRMADO
