id_publicacao;descricao;data_postagem;imagem;fk_usuario;fk_evento;publicacao_pai;tipo
1;Descrição adequada do Evento de Simulacao de Entrevista;21/10/2021;evento_1.jpg;1;1;0;EVENTO
2;Descrição adequada do Evento de Mentoria;01/02/2021;evento_2.jpg;1;2;0;EVENTO
3;Descrição adequada do Evento de Multiroes Mao na Massa;05/05/2021;evento_3.jpg;1;3;0;EVENTO
4;Descrição adequada do Evento de Comites Estrategicos;10/06/2021;evento_4.jpg;1;4;0;EVENTO
5;Descrição adequada do Evento de Indicacao de Projetos;30/07/2021;evento_5.jpg;1;5;0;EVENTO
6;Descrição adequada do Evento de Comites Estrategicos;21/04/2021;evento_6.jpg;1;6;0;EVENTO
7;Descrição adequada do Evento de Sacolinha de fim de ano;12/04/2021;evento_7.jpg;1;7;0;EVENTO
8;Descrição adequada do Evento de Aulas de Ingles;12/11/2021;evento_8.jpg;1;8;0;EVENTO
9;Descrição adequada do Evento de Sacolinha de fim de ano;05/01/2021;evento_9.jpg;1;9;0;EVENTO
10;Descrição adequada do Evento de Doacao de Cestas Basicas;27/04/2021;evento_10.jpg;1;10;0;EVENTO
11;Descrição adequada do Evento de Comites Estrategicos;31/05/2021;evento_11.jpg;1;11;0;EVENTO
12;Descrição adequada do Evento de Indicacao de Projetos;03/04/2021;evento_12.jpg;1;12;0;EVENTO
13;Descrição adequada do Evento de Comites Estrategicos;23/09/2021;evento_13.jpg;1;13;0;EVENTO
14;Descrição adequada do Evento de Doacao de Sangue;12/03/2021;evento_14.jpg;1;14;0;EVENTO
15;Descrição adequada do Evento de Sacolinha de fim de ano;20/09/2021;evento_15.jpg;1;15;0;EVENTO
16;Descrição adequada do Evento de Doacao de Sangue;30/04/2021;evento_16.jpg;1;16;0;EVENTO
17;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;14/02/2021;evento_17.jpg;1;17;0;EVENTO
18;Descrição adequada do Evento de Multiroes Mao na Massa;26/04/2021;evento_18.jpg;1;18;0;EVENTO
19;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;02/01/2021;evento_19.jpg;1;19;0;EVENTO
